KeyBase,Jenis RM,Jenis Analisa,Parameter,Std_mentah_2026,Kriteria,Nilai_std,Satuan,Std_tipe,Std_min,Std_max,m_num,M_num,Catatan
bsag|mikrobiologi|clostridium perfringens,BSAG,Mikrobiologi,Clostridium perfringens,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
bsag|mikrobiologi|e. coli,BSAG,Mikrobiologi,E. coli,m = negatif/ g,,,m = negatif/ g,Kualitatif,,,,,
bsag|mikrobiologi|enterobacteriaceae,BSAG,Mikrobiologi,Enterobacteriaceae,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
bsag|mikrobiologi|kapang & khamir,BSAG,Mikrobiologi,Kapang & Khamir,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
bsag|mikrobiologi|salmonella,BSAG,Mikrobiologi,Salmonella,m = negatif/ 25 g,m = negatif/,25,g,m,,,25,,
bskb|cemaran logam|as,BSKB,Cemaran Logam,As,"Maks. 0,15 ppm",Maks.,0.15,ppm,Maks,,0.15,,,
bskb|cemaran logam|cd,BSKB,Cemaran Logam,Cd,"Maks. 0,50 ppm",Maks.,0.50,ppm,Maks,,0.5,,,
bskb|cemaran logam|hg,BSKB,Cemaran Logam,Hg,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
bskb|cemaran logam|pb,BSKB,Cemaran Logam,Pb,"Maks. 1,0 ppm",Maks.,1.0,ppm,Maks,,1,,,
bskb|cemaran logam|sn,BSKB,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
bskb|mikrobiologi|alt,BSKB,Mikrobiologi,ALT,m = 105 kol/g,m =,105,kol/g,m,,,100000,,
bskb|mikrobiologi|bacillus cereus,BSKB,Mikrobiologi,Bacillus cereus,m = 104 kol/g,m =,104,kol/g,m,,,10000,,
bskb|mikrobiologi|clostridium perfringens,BSKB,Mikrobiologi,Clostridium perfringens,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
bskb|mikrobiologi|e. coli,BSKB,Mikrobiologi,E. coli,m = negatif/ g,,,m = negatif/ g,Kualitatif,,,,,
bskb|mikrobiologi|enterobacteriaceae,BSKB,Mikrobiologi,Enterobacteriaceae,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
bskb|mikrobiologi|kapang & khamir,BSKB,Mikrobiologi,Kapang & Khamir,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
bskb|mikrobiologi|salmonella,BSKB,Mikrobiologi,Salmonella,m = negatif/ 25 g,m = negatif/,25,g,m,,,25,,
cakra kembar orange|cemaran logam|as,Cakra Kembar Orange,Cemaran Logam,As,"Maks.  0,5  ppm",Maks.,0.5,ppm,Maks,,0.5,,,
cakra kembar orange|cemaran logam|cd,Cakra Kembar Orange,Cemaran Logam,Cd,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
cakra kembar orange|cemaran logam|hg,Cakra Kembar Orange,Cemaran Logam,Hg,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
cakra kembar orange|cemaran logam|pb,Cakra Kembar Orange,Cemaran Logam,Pb,Maks.  1  ppm,Maks.,1,ppm,Maks,,1,,,
cakra kembar orange|cemaran logam|sn,Cakra Kembar Orange,Cemaran Logam,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
cakra kembar orange|karakteristik adonan|falling number,Cakra Kembar Orange,Karakteristik Adonan,Falling  number,Min.  300 detik,Min.,300,detik,Min,300,,,,
cakra kembar orange|karakteristik adonan|kadar gluten ( metode glutomatik ),Cakra Kembar Orange,Karakteristik Adonan,Kadar Gluten ( Metode Glutomatik ),,,,,NA,,,,,
cakra kembar orange|karakteristik adonan|kestabilan,Cakra Kembar Orange,Karakteristik Adonan,Kestabilan,Min.  10 menit,Min.,10,menit,Min,10,,,,
cakra kembar orange|karakteristik adonan|water absorption,Cakra Kembar Orange,Karakteristik Adonan,Water  Absorption,Min.  60 %,Min.,60,%,Min,60,,,,
cakra kembar orange|kimia|deoksivalenol,Cakra Kembar Orange,Kimia,Deoksivalenol,Maks.  1000 ppb,Maks.,1000,ppb,Maks,,1000,,,
cakra kembar orange|kimia|ethylene oxide,Cakra Kembar Orange,Kimia,Ethylene Oxide,"Maks.  0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
cakra kembar orange|kimia|ethylene oxide / jumlah total ethylene oxide,Cakra Kembar Orange,Kimia,Ethylene Oxide / Jumlah Total Ethylene Oxide,"Maks.  0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
cakra kembar orange|kimia|fe,Cakra Kembar Orange,Kimia,Fe,Min.  50 ppm,Min.,50,ppm,Min,50,,,,
cakra kembar orange|kimia|folic acid,Cakra Kembar Orange,Kimia,Folic  Acid,Min.  2 ppm,Min.,2,ppm,Min,2,,,,
cakra kembar orange|kimia|kadar protein (db),Cakra Kembar Orange,Kimia,Kadar  Protein (db),"Min.  13,0 %",Min.,13.0,%,Min,13,,,,
cakra kembar orange|kimia|keasamanan,Cakra Kembar Orange,Kimia,Keasamanan,Maks.  50 mg KOH / 100 g,Maks.,50,mg KOH / 100 g,Maks,,50,,,
cakra kembar orange|kimia|okratoksin a,Cakra Kembar Orange,Kimia,Okratoksin A,Maks.  5 ppb,Maks.,5,ppb,Maks,,5,,,
cakra kembar orange|kimia|permentan 53/2018 (gandum),Cakra Kembar Orange,Kimia,Permentan 53/2018 (gandum),,,,,NA,,,,,
cakra kembar orange|kimia|residu pestisida :,Cakra Kembar Orange,Kimia,Residu  pestisida :,,,,,NA,,,,,
cakra kembar orange|kimia|vit b1,Cakra Kembar Orange,Kimia,Vit  B1,Min.  2.5 ppm,Min.,2.5,ppm,Min,2.5,,,,
cakra kembar orange|kimia|vit b2,Cakra Kembar Orange,Kimia,Vit  B2,"4,0 - 7,0 ppm",,4.0 - 7.0,ppm,Range,4,7,,,
cakra kembar orange|kimia|vit b3,Cakra Kembar Orange,Kimia,Vit  B3,"42,4 - 92,8 ppm",,42.4 - 92.8,ppm,Range,42.4,92.8,,,
cakra kembar orange|kimia|zn,Cakra Kembar Orange,Kimia,Zn,Min.  30 ppm,Min.,30,ppm,Min,30,,,,
cakra kembar orange|mikrobiologi|alt,Cakra Kembar Orange,Mikrobiologi,ALT,m = 105  kol/g,m =,105,kol/g,m,,,100000,,
cakra kembar orange|mikrobiologi|bacillus cereus,Cakra Kembar Orange,Mikrobiologi,Bacillus  cereus,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
cakra kembar orange|mikrobiologi|escherichia coli,Cakra Kembar Orange,Mikrobiologi,Escherichia coli,m = 7.4  APM/g,m =,7.4,APM/g,m,,,7.4,,
cakra kembar orange|mikrobiologi|kapang & khamir,Cakra Kembar Orange,Mikrobiologi,Kapang & Khamir,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
cakra kembar orange|mikrobiologi|salmonella,Cakra Kembar Orange,Mikrobiologi,Salmonella,m = negatif/25g,m = negatif/,25,g,m,,,25,,
cakra kembar|cemaran logam|as,Cakra Kembar,Cemaran Logam,As,"Maks.  0,5  ppm",Maks.,0.5,ppm,Maks,,0.5,,,
cakra kembar|cemaran logam|cd,Cakra Kembar,Cemaran Logam,Cd,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
cakra kembar|cemaran logam|hg,Cakra Kembar,Cemaran Logam,Hg,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
cakra kembar|cemaran logam|pb,Cakra Kembar,Cemaran Logam,Pb,Maks.  1  ppm,Maks.,1,ppm,Maks,,1,,,
cakra kembar|cemaran logam|sn,Cakra Kembar,Cemaran Logam,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
cakra kembar|fisik|ukuran partikel size,Cakra Kembar,Fisik,Ukuran Partikel size,Min.  95 %  lolos  ( w/w ),Min.,95,% lolos ( w/w ),Min,95,,,,
cakra kembar|karakteristik adonan|falling number,Cakra Kembar,Karakteristik Adonan,Falling  number,Min.  300 detik,Min.,300,detik,Min,300,,,,
cakra kembar|karakteristik adonan|kadar gluten ( metode glutomatik ),Cakra Kembar,Karakteristik Adonan,Kadar Gluten ( Metode Glutomatik ),,,,,NA,,,,,
cakra kembar|karakteristik adonan|kestabilan,Cakra Kembar,Karakteristik Adonan,Kestabilan,Min.  10 menit,Min.,10,menit,Min,10,,,,
cakra kembar|karakteristik adonan|water absorption,Cakra Kembar,Karakteristik Adonan,Water  Absorption,Min.  60 %,Min.,60,%,Min,60,,,,
cakra kembar|kimia|deoksivalenol,Cakra Kembar,Kimia,Deoksivalenol,Maks.  1000 ppb,Maks.,1000,ppb,Maks,,1000,,,
cakra kembar|kimia|ethylene oxide,Cakra Kembar,Kimia,Ethylene Oxide,"Maks.  0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
cakra kembar|kimia|ethylene oxide / jumlah total ethylene oxide,Cakra Kembar,Kimia,Ethylene Oxide / Jumlah Total Ethylene Oxide,"Maks.  0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
cakra kembar|kimia|fe,Cakra Kembar,Kimia,Fe,Min.  50 ppm,Min.,50,ppm,Min,50,,,,
cakra kembar|kimia|folic acid,Cakra Kembar,Kimia,Folic  Acid,Min.  2 ppm,Min.,2,ppm,Min,2,,,,
cakra kembar|kimia|kadar protein (db),Cakra Kembar,Kimia,Kadar  Protein (db),"Min.  13,0 %",Min.,13.0,%,Min,13,,,,
cakra kembar|kimia|keasamanan,Cakra Kembar,Kimia,Keasamanan,Maks.  50 mg KOH / 100 g,Maks.,50,mg KOH / 100 g,Maks,,50,,,
cakra kembar|kimia|okratoksin a,Cakra Kembar,Kimia,Okratoksin A,Maks.  5 ppb,Maks.,5,ppb,Maks,,5,,,
cakra kembar|kimia|permentan 53/2018 (gandum),Cakra Kembar,Kimia,Permentan 53/2018 (gandum),,,,,NA,,,,,
cakra kembar|kimia|residu pestisida :,Cakra Kembar,Kimia,Residu  pestisida :,,,,,NA,,,,,
cakra kembar|kimia|vit b1,Cakra Kembar,Kimia,Vit  B1,Min.  2.5 ppm,Min.,2.5,ppm,Min,2.5,,,,
cakra kembar|kimia|vit b2,Cakra Kembar,Kimia,Vit  B2,Min.  4 ppm,Min.,4,ppm,Min,4,,,,
cakra kembar|kimia|vit b3,Cakra Kembar,Kimia,Vit  B3,,,,,NA,,,,,
cakra kembar|kimia|zn,Cakra Kembar,Kimia,Zn,Min.  30 ppm,Min.,30,ppm,Min,30,,,,
cakra kembar|mikrobiologi|alt,Cakra Kembar,Mikrobiologi,ALT,m = 105  kol/g,m =,105,kol/g,m,,,100000,,
cakra kembar|mikrobiologi|bacillus cereus,Cakra Kembar,Mikrobiologi,Bacillus  cereus,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
cakra kembar|mikrobiologi|escherichia coli,Cakra Kembar,Mikrobiologi,Escherichia coli,m = 7.4  APM/g,m =,7.4,APM/g,m,,,7.4,,
cakra kembar|mikrobiologi|kapang & khamir,Cakra Kembar,Mikrobiologi,Kapang & Khamir,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
cakra kembar|mikrobiologi|salmonella,Cakra Kembar,Mikrobiologi,Salmonella,m = negatif/25g,m = negatif/,25,g,m,,,25,,
d 205640|cemaran logam|as,D 205640,Cemaran Logam,As,"Maks. 0,15 ppm",Maks.,0.15,ppm,Maks,,0.15,,,
d 205640|cemaran logam|cd,D 205640,Cemaran Logam,Cd,"Maks. 0,50 ppm",Maks.,0.50,ppm,Maks,,0.5,,,
d 205640|cemaran logam|hg,D 205640,Cemaran Logam,Hg,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
d 205640|cemaran logam|pb,D 205640,Cemaran Logam,Pb,"Maks. 1,0 ppm",Maks.,1.0,ppm,Maks,,1,,,
d 205640|cemaran logam|sn,D 205640,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
d 205640|kimia|aflatoksin (b1),D 205640,Kimia,Aflatoksin (B1),Maks.  15 ppb,Maks.,15,ppb,Maks,,15,,,
d 205640|kimia|aflatoksin (total),D 205640,Kimia,Aflatoksin (Total),Maks.  20 ppb,Maks.,20,ppb,Maks,,20,,,
d 205640|kimia|ethylene oxide,D 205640,Kimia,Ethylene Oxide,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
d 205640|kimia|residu pestisida,D 205640,Kimia,Residu Pestisida,PERMENTAN 53/2018 - Daun bawang,,,PERMENTAN 53/2018 - Daun bawang,Cek,,,,,
d 205640|kimia|total ethylene oxide = eto + (0.55*2-ce) oxide,D 205640,Kimia,Total Ethylene Oxide = EtO + (0.55*2-CE) Oxide,"Maks. 0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
d 205640|mikrobiologi|alt,D 205640,Mikrobiologi,ALT,"m = 105 kol/g,",m =,105,kol/g,m,,,100000,,
d 205640|mikrobiologi|bacillus cereus,D 205640,Mikrobiologi,Bacillus cereus,"m = 104 kol/g,",m =,104,kol/g,m,,,10000,,
d 205640|mikrobiologi|clostridium perfringens,D 205640,Mikrobiologi,Clostridium perfringens,"m = 103 kol/g,",m =,103,kol/g,m,,,1000,,
d 205640|mikrobiologi|e coli,D 205640,Mikrobiologi,E Coli,"m = negatif/ g,",,,"m = negatif/ g,",Kualitatif,,,,,
d 205640|mikrobiologi|enterobacteriaceae,D 205640,Mikrobiologi,Enterobacteriaceae,"m = 103 kol/g,",m =,103,kol/g,m,,,1000,,
d 205640|mikrobiologi|kapang & khamir,D 205640,Mikrobiologi,Kapang & Khamir,"m = 103 kol/g,",m =,103,kol/g,m,,,1000,,
d 205640|mikrobiologi|salmonella,D 205640,Mikrobiologi,Salmonella,"m = negatif/ 25 g,",m = negatif/,25,g,m,,,25,,
d 502420|cemaran logam|as,D 502420,Cemaran Logam,As,"Maks. 0,15 ppm",Maks.,0.15,ppm,Maks,,0.15,,,
d 502420|cemaran logam|cd,D 502420,Cemaran Logam,Cd,"Maks. 0,50 ppm",Maks.,0.50,ppm,Maks,,0.5,,,
d 502420|cemaran logam|hg,D 502420,Cemaran Logam,Hg,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
d 502420|cemaran logam|pb,D 502420,Cemaran Logam,Pb,"Maks. 1,0 ppm",Maks.,1.0,ppm,Maks,,1,,,
d 502420|cemaran logam|sn,D 502420,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
d 502420|kimia|aflatoksin (b1),D 502420,Kimia,Aflatoksin (B1),Maks.  15 ppb,Maks.,15,ppb,Maks,,15,,,
d 502420|kimia|aflatoksin (total),D 502420,Kimia,Aflatoksin (Total),Maks.  20 ppb,Maks.,20,ppb,Maks,,20,,,
d 502420|kimia|ethylene oxide,D 502420,Kimia,Ethylene Oxide,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
d 502420|kimia|residu pestisida,D 502420,Kimia,Residu Pestisida,PERMENTAN 53/2018 - Daun bawang,,,PERMENTAN 53/2018 - Daun bawang,Cek,,,,,
d 502420|kimia|total ethylene oxide = eto + (0.55*2-ce) oxide,D 502420,Kimia,Total Ethylene Oxide = EtO + (0.55*2-CE) Oxide,"Maks. 0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
d 502420|mikrobiologi|alt,D 502420,Mikrobiologi,ALT,"m = 105 kol/g,",m =,105,kol/g,m,,,100000,,
d 502420|mikrobiologi|bacillus cereus,D 502420,Mikrobiologi,Bacillus cereus,"m = 104 kol/g,",m =,104,kol/g,m,,,10000,,
d 502420|mikrobiologi|clostridium perfringens,D 502420,Mikrobiologi,Clostridium perfringens,"m = 103 kol/g,",m =,103,kol/g,m,,,1000,,
d 502420|mikrobiologi|e coli,D 502420,Mikrobiologi,E Coli,"m = negatif/ g,",,,"m = negatif/ g,",Kualitatif,,,,,
d 502420|mikrobiologi|enterobacteriaceae,D 502420,Mikrobiologi,Enterobacteriaceae,"m = 103 kol/g,",m =,103,kol/g,m,,,1000,,
d 502420|mikrobiologi|kapang & khamir,D 502420,Mikrobiologi,Kapang & Khamir,"m = 103 kol/g,",m =,103,kol/g,m,,,1000,,
d 502420|mikrobiologi|salmonella,D 502420,Mikrobiologi,Salmonella,"m = negatif/ 25 g,",m = negatif/,25,g,m,,,25,,
e 031|cemaran logam|as,E 031,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
e 031|cemaran logam|cd,E 031,Cemaran Logam,Cd,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
e 031|cemaran logam|hg,E 031,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
e 031|cemaran logam|pb,E 031,Cemaran Logam,Pb,Maks. 5 ppm,Maks.,5,ppm,Maks,,5,,,
e 031|kimia|etilen glikol & dietilen glikol,E 031,Kimia,Etilen glikol & Dietilen glikol,,,,,NA,,,,,
e 031|mikrobiologi|alt,E 031,Mikrobiologi,ALT,Maks 1.0 x 104 kol/ gram,Maks,1.0 x 10^4,kol/ gram,m,,,10000,,
e 031|mikrobiologi|coliform,E 031,Mikrobiologi,Coliform,Maks 1.0 x 101 kol/gram,Maks,1.0 x 10^1,kol/gram,m,,,10,,
e 031|mikrobiologi|e. coli,E 031,Mikrobiologi,E. coli,Negatif/ g,,,Negatif/ g,Kualitatif,,,,,
e 031|mikrobiologi|kapang dan khamir,E 031,Mikrobiologi,Kapang dan Khamir,Maks 5 x 102 kol/ gram,Maks,5 x 10^2,kol/ gram,m,,,500,,
e 031|mikrobiologi|salmonella,E 031,Mikrobiologi,Salmonella,Negatif/ 25 g,Negatif/,25,g,m,,,25,,
grsb|cemaran logam|as,GRSB,Cemaran Logam,As,"Maks.  0,10  ppm",Maks.,0.10,ppm,Maks,,0.1,,,
grsb|cemaran logam|cd,GRSB,Cemaran Logam,Cd,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
grsb|cemaran logam|hg,GRSB,Cemaran Logam,Hg,"Maks.  0,03  ppm",Maks.,0.03,ppm,Maks,,0.03,,,
grsb|cemaran logam|pb,GRSB,Cemaran Logam,Pb,"Maks.  0,25  ppm",Maks.,0.25,ppm,Maks,,0.25,,,
grsb|cemaran logam|sn,GRSB,Cemaran Logam,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
grsb|kimia|aflatoksin total,GRSB,Kimia,Aflatoksin total,Maks. 15 ppb,Maks.,15,ppb,Maks,,15,,,
grsb|kimia|okratoksin a,GRSB,Kimia,Okratoksin A,Maks. 5 ppb,Maks.,5,ppb,Maks,,5,,,
grsb|kimia|protein,GRSB,Kimia,Protein,Min. 30 %,Min.,30,%,Min,30,,,,
grsb|mikrobiologi|alt,GRSB,Mikrobiologi,ALT,m = 105 kol/g,m =,105,kol/g,m,,,100000,,
grsb|mikrobiologi|bacillus cereus,GRSB,Mikrobiologi,Bacillus cereus,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
grsb|mikrobiologi|e. coli,GRSB,Mikrobiologi,E. coli,m = 7.4 APM/g,m =,7.4,APM/g,m,,,7.4,,
grsb|mikrobiologi|kapang & khamir,GRSB,Mikrobiologi,Kapang & Khamir,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
grsb|mikrobiologi|salmonella,GRSB,Mikrobiologi,Salmonella,m = Negatif/25 g,m = Negatif/,25,g,m,,,25,,
kecap asin (ikaj)|cemaran logam|as,KECAP  ASIN  (IKAJ),Cemaran Logam,As,"Maks. 0,15 ppm",Maks.,0.15,ppm,Maks,,0.15,,,
kecap asin (ikaj)|cemaran logam|cd,KECAP  ASIN  (IKAJ),Cemaran Logam,Cd,"Maks. 0,5 ppm",Maks.,0.5,ppm,Maks,,0.5,,,
kecap asin (ikaj)|cemaran logam|hg,KECAP  ASIN  (IKAJ),Cemaran Logam,Hg,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
kecap asin (ikaj)|cemaran logam|pb,KECAP  ASIN  (IKAJ),Cemaran Logam,Pb,"Maks. 1,0 ppm",Maks.,1.0,ppm,Maks,,1,,,
kecap asin (ikaj)|cemaran logam|sn,KECAP  ASIN  (IKAJ),Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
kecap asin (ikaj)|kimia|3-mcpd,KECAP  ASIN  (IKAJ),Kimia,3-MCPD,Maks. 20 ppb,Maks.,20,ppb,Maks,,20,,,
kecap asin (ikaj)|kimia|aflatoksin total,KECAP  ASIN  (IKAJ),Kimia,Aflatoksin total,Maks. 10 ppb,Maks.,10,ppb,Maks,,10,,,
kecap asin (ikaj)|kimia|derajat brix,KECAP  ASIN  (IKAJ),Kimia,Derajat  Brix,"30,0 - 40,0",,30.0 - 40.0,,Range,30,40,,,
kecap asin (ikaj)|kimia|kadar protein (n x 6.25),KECAP  ASIN  (IKAJ),Kimia,Kadar  Protein  (N x 6.25),"Min. 4,0% (wb)",Min.,4.0,% (wb),Min,4,,,,
kecap asin (ikaj)|kimia|metil parahidroksi benzoat,KECAP  ASIN  (IKAJ),Kimia,Metil parahidroksi benzoat,Maks. 250 ppm,Maks.,250,ppm,Maks,,250,,,
kecap asin (ikaj)|kimia|natrium benzoat,KECAP  ASIN  (IKAJ),Kimia,Natrium  Benzoat,Maks. 600 ppm,Maks.,600,ppm,Maks,,600,,,
kecap asin (ikaj)|mikrobiologi|alt,KECAP  ASIN  (IKAJ),Mikrobiologi,ALT,m = 104 kol/g,m =,104,kol/g,m,,,10000,,
kecap asin (ikaj)|mikrobiologi|enterobacteriaceae,KECAP  ASIN  (IKAJ),Mikrobiologi,Enterobacteriaceae,m = 102 kol/g,m =,102,kol/g,m,,,100,,
l 164420|cemaran logam|as,L 164420,Cemaran Logam,As,Maks.  4  ppm,Maks.,4,ppm,Maks,,4,,,
l 164420|cemaran logam|pb,L 164420,Cemaran Logam,Pb,Maks.  10  ppm,Maks.,10,ppm,Maks,,10,,,
l 164420|kimia|ethylene oxide,L 164420,Kimia,Ethylene Oxide,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
l 164420|kimia|etilen glikol & dietilene glikol,L 164420,Kimia,Etilen Glikol & Dietilene Glikol,,,,,NA,,,,,
l 164420|kimia|total etillena oksida (etilena oksida + 2-ce sebagai etilena oksida),L 164420,Kimia,Total Etillena Oksida (etilena oksida + 2-CE sebagai etilena oksida),"Maks. 0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
l 164420|mikrobiologi|bacillus cereus,L 164420,Mikrobiologi,Bacillus cereus,Maks.  1 x 104  kol/g,Maks.,1 x 10^4,kol/g,m,,,10000,,
